SIFRA,"IME_VOLISCA"
205036,"Narodni dom Pobegi"
205037,"Pobegi-Čežarji - sedež KS"
205038,"OŠ Elvire Vatovec - Podružnica Sv. Anton"
205039,"Vanganel - zadružni dom - Kondor"
205040,"Vrtec Koper - Enota Šalara"
205041,"Vrtec Koper - Enota Šalara"
205042,"Vrtec Koper - Enota Šalara"
205043,"O.Š.  Škofije"
205044,"Škofije - Vaška hiša"
205045,"O.Š. Škofije"
205046,"O.Š. Škofije"
205047,"OŠ Šmarje"
205048,"Gažon - šola"
205049,"Pomjan - šola"
205050,"Krkavče - zadružni dom"
205051,"Puče - šola"
205052,"Koštabona - šola"
205053,"Vanganel - Sedež KS"
205054,"Podgorje -  stara šola"
205055,"Rakitovec - sedež KS"
205056,"Zazid - Vaški dom"
205057,"OŠ Elvire Vatovec - Podružnica Sv. Anton"
206001,"Avber, bivša šola"
206002,"Dane pri Sežani, Dom na Padulu"
206003,"Dutovlje,  Bunčetova domačija, Dutovlje 65"
206004,"Kreplje, Vaški dom"
206005,"Skopo, Vaška dvorana"
206006,"Kopriva,Dvorana vaške skupnosti"
206007,"Krajna vas 40,v prostorih vaške hiše Gec Milivoja"
206008,"Kazlje, v domu KS"
206009,"Lokev, Kulturni dom"
206010,"Pliskovica, Prostor balinarskega kluba"
206011,"Veliki dol, Dvorana stare šole"
206012,"Tublje pri Komnu,vaška hiša Knez Dragice,h.št.16"
206013,"Povir, v prostorih zadružnega doma"
206014,"Sedež občine Sežana, Partizanska cesta 4"
206015,"Otroški vrtec, Ulica Jožeta Pahorja 1"
206016,"VDC Koper -Enota Sežana,Ul. J.Pahorja 3"
206017,"Osnovna šola Sežana (v jedilnici), Kosovelova 6"
206018,"Stara osnovna šola v Sežani"
206019,"Zav. za gas. in reš.sl. Sežana, Bazoviška ul. 13"
206020,"Dol pri Vogljah, Zadružni dom"
206021,"Štjak, v bivši šoli"
206022,"Štorje, Zadružni dom"
206023,"Tomaj,Sedež krajevne skupnosti"
206024,"Križ, Vaški dom"
206025,"Tabor, v prostorih šole, Tabor št.9"
206026,"Komen, dvorana kulturnega doma, Komen 118"
206027,"Gabrovica pri Komnu 47,v prostorih vaške skupnost"
206028,"Volčji grad št.24"
206029,"Tomačevica, Vaški dom"
206030,"Sveto, Stara šola, št.68"
206031,"Škrbina, Stara šola"
206032,"Ivanji grad, Vaški dom"
206033,"Brje pri Komnu, Vaški dom"
206034,"Gorjansko, v kotičku kulturnega doma"
206035,"Brestovica pri Komnu,Vaška skupnost, št.55"
206036,"Štanjel, Zadružni dom, št.59a"
206037,"Kodreti, Vaška skupnost Gornja Branica,Kodreti 10"
206038,"Kobjeglava, Vaški dom, št.75"
206039,"Hruševica, Vaški dom"
206040,"Divača, Osnovna šola"
206041,"Dolnje Ležeče 75, v privat hiši Izoka Grandiča"
206042,"Naklo, Vaški dom"
206043,"Dane pri Divači, Vaški dom"
206044,"Famlje, v objektu nekdanjega LIV-a"
206045,"Gornje Ležeče 16,v privat hiši Jožeta Čeperja"
206046,"Barka, Stara osnovna šola"
206047,"Vareje, Vaški dom ob balinišču"
206048,"Senožeče, večnamenska dvorana Rudolfa  Cvetka"
206049,"Dolenja vas, v zadružnem domu"
206050,"Hrpelje, Vaški dom Hrpelje, Na  Gorici 2a"
206051,"Tublje pri Hrpeljah, Gostilna Križman, Tublje 24"
206052,"Krvavi potok, Vaški dom"
206053,"Kozina, v prostorih knjižnice, Istrska 19"
206054,"Vrhpolje, Vaški dom"
206055,"Artviže, Vaški dom, Artviže 6a"
206056,"Gradišče pri Materiji,prostori krajevne skupnosti"
206057,"Bač pri Materiji št. 28b, Gasilski dom"
206058,"Brezovica, Vaški dom"
206059,"Ocizla-v vaški hiši,Ocizla 36"
206060,"Obrov, v prostorih balinišča"
206061,"Prešnica, Osnovna šola"
206062,"Rodik, Prostori vaškega doma, Rodik 6"
206063,"Slivje, Krajevna skupnost"
206064,"Tatre, Vaški dom"
206068,"Klanec pri Kozini, v prostorih vaškega doma"
206069,"Javorje, Vaški dom"
207001,"Osnovna šola Antona Žnideršiča Ilirska Bistrica"
207002,"Levstikova 5, Ilirska Bistrica"
207003,"Osnovna šola Dragotina Ketteja, Ilirska Bistrica"
207004,"Jurčičeva 1, Ilirska Bistrica"
207005,"Gasilski dom Trnovo"
207006,"Vaški dom Jasen, Jasen 15c"
207007,"Gasilski dom Vrbovo"
207008,"Vaški dom, Vrbica 24"
207009,"Jablanica 32a"
207010,"Gostilna Celin, Kuteževo"
207011,"Bar Kočanija, Trpčane"
207012,"Dom na Selih, Podgraje 75"
207013,"Gostilna ""Sabrina"" Sušak"
207014,"Bivša gostilna, Novokračine 46"
207015,"Gasilski dom Jelšane"
207016,"Dolenje pri Jelšanah 6"
207017,"Bivša šolska stavba, Veliko Brdo"
207018,"Na balincu, Mala Bukovica"
207019,"Na balincu, Koseze"
207020,"Vaški dom Velika Bukovica"
207021,"Grad Dolnji Zemon -prostori KS"
207022,"Vaški dom Gornji Zemon"
207023,"Pavlica 6"
207024,"Starod 49 a"
207025,"Osnovna šola Podgrad"
207026,"Vaški dom Podbeže"
207027,"Račice, Na plesišču"
207028,"Vaški dom Sabonje, Sabonje 47"
207029,"Vaški dom Hrušica"
207030,"Osnovna šola Pregarje"
207031,"Avtobusna postaja  Prelože"
207032,"Vaški dom Zajelšje"
207033,"Društveni prostori , Tominje"
207034,"Stavba bivše šole Harije"
207035,"Gostilna Pizzeria ŠKORPION Rečica 1a"
207036,"Bivša šolska stavba Ostrožno Brdo"
207037,"Janeževo Brdo 8"
207038,"Kilovče 13"
207039,"Prem 1"
207040,"Ratečevo Brdo 2"
207041,"Bivša OŠ, Prem"
207042,"Čelje - dvorana KS"
207043,"Smrje 56"
207044,"Vaški dom Topolc"
207045,"Mereče 22"
207046,"Pomožni vaški prostor Podstenje"
207047,"Prostori KS Šembije"
207048,"Gasilski dom Knežak"
207049,"Na balincu, Bač"
207050,"Gasilski dom  Koritnice"
208001,"Osnovna šola Pivka"
208002,"Osnovna šola Pivka"
208003,"Osnovna šola Pivka"
208005,"Gasilski dom Palčje"
208006,"Kulturni dom Juršče"
208007,"Gasilski dom Zagorje"
208008,"Osnovna šola Šmihel"
208009,"O.Š. Dolnja Košana 61"
208010,"Hiša Požar, Čepno 15"
208011,"Hiša Dolgan Volče"
208012,"Hiša Biščak Anton, Buje"
208013,"Vaška hiša, Suhorje 23a"
208014,"Stara  o.š., Kal 90"
208015,"Gostilna Miranda, Selce"
208016,"Srednja gozdarska in lesarska šola Postojna"
208017,"Avla knjižnice B. Zupančiča Postojna"
208018,"Avla kulturnega doma Postojna,Gregorčičev drev.2a"
208019,"Avla kulturnega doma Postojna,Gregorčičev drev.2a"
208020,"Gostilna ""Brne"""
208021,"O.Š. ""A. Globočnika"", Postojna"
208022,"O.Š. ""A. Globočnika"", Postojna"
208023,"O.Š. ""A. Globočnika"", Postojna"
208024,"O.Š.""A. Globočnika"", Postojna"
208025,"O.Š.""A. Globočnika"", Postojna"
208027,"Dom upokojencev Postojna"
208028,"Podjetniški inkubator, Veliki otok 44b"
208029,"Kulturni dom Miroslava Vilharja Planina"
208030,"Kulturni dom Studeno"
208031,"Kulturni dom Bukovje"
208032,"Kulturni dom Landol"
208033,"Kult. dom, Šmihel pod Nanosom"
208034,"O.Š. Hruševje"
208035,"Kulturni dom Veliko Ubeljsko"
208036,"Gasilski dom Razdrto"
208037,"Dom krajanov Bolk"
208038,"Kulturni dom Hrašče"
208039,"Gostilna Černač, Rakitnik 39"
208040,"OŠ Prestranek"
208041,"Kulturni dom, Slavina 31"
208042,"Kulturni dom Orehek"
208043,"Hiša Čič, Zagon 3a"
208044,"Dom krajanov Koče"
209001,"OŠ Alojza Gradnika Dobrovo, Trg 25. maja 9"
209002,"Bivša carinarnica, Breg pri Golem Brdu 1a"
209003,"Sedež VS, Kožbana 6a"
209004,"Športno igrišče ""Čelo"", Hruševlje"
209005,"Vaški prostor- župnišče, Vipolže 59"
209006,"Večnamenski prostor, Kozana 59"
209007,"Zadružni dom, Fojana 25"
209008,"Vaški dom, Višnjevik 33"
209009,"Vrtec Kojsko, Kojsko 69"
209010,"Vaški dom, Vrhovlje pri Kojskem 18"
209011,"Zadružni dom, Vedrijan 34"
209012,"Kulturni dom, Hum 54"
209013,"Dom upokojencev, Podsabotin 27"
209014,"Večnamenski prostor, Gornje Cerovo 12c"
209015,"Hiša kulture, Šmartno 38"
209016,"Zadružni dom, Medana 16"
209017,"Briški dom pri župnišču Biljana, Biljana 12"
209018,"Bivši market Mercator Anhovo, Anhovo 67"
209019,"Športno rekreativno društvo Ložice, Ložice 8"
209020,"Železniška postaja Plave, Vojkova ulica 28"
209021,"Kulturni dom Deskle, Srebrničeva ul. 18"
209022,"Prostor PGD Avče, Avče 26"
209023,"Sedež KS, Kal nad Kanalom 111e"
209024,"Prostor TR društvo Globočak, Kambreško 12"
209025,"Dvorana športnega parka Morsko"
209026,"Informacijska točka pri jezeru, Kanalski Vrh"
209027,"Bodrež 2"
209028,"OŠ Kanal - volišče št. 1, Gradnikova ul. 25"
209029,"OŠ Kanal - volišče št. 2, Gradnikova ul. 25"
209030,"Večnamenski objekt, Levpa 27"
209031,"Kulturni dom Lig, Lig 1"
209032,"Dom Valentina Staniča, Ročinj 59"
209033,"Športni park Doblar"
209034,"Dom krajanov Negovan Nemec, Bilje"
209035,"Sedež KS, Kostanjevica na Krasu 75"
209036,"Hiša dobre volje (pritličje), Miren 138"
209037,"Športni park Orehovlje"
209038,"Sedež KS, Opatje selo 14"
209039,"Sedež KS, Sela na Krasu 35"
209040,"Stara šola, Temnica 10"
209041,"Večnamenski objekt, Lipa 17"
209042,"Bivša OŠ, Vojščica 37"
209043,"Sedež KS (pri trgovini), Banjšice 86"
209044,"Kulturni dom, Branik 75"
209045,"Zadružni dom, Preserje 25"
209046,"Bivša OŠ, Spodnja Branica 29"
209047,"OŠ Čepovan, Čepovan 87"
209048,"OŠ Dornberk, Gregorčičeva ul. 30a"
209049,"Market Gregorič, Zalošče 34c"
209050,"Kulturni dom (na hribu), Gradišče nad Prvačino 95"
209051,"Kulturni dom (pritličje), Grgar 47"
209052,"Sedež KS, Grgarske Ravne 30"
209053,"Avtobusna čakalnica, Bate"
209054,"Večnamenski objekt, Lokovec 205a"
209055,"Bivša OŠ, Lokovec 82"
209056,"Bivša OŠ, Lokve 30"
209057,"Bivša OŠ, Osek 73"
209058,"Šola glasbe in umetnosti Ozlinka, Ozeljan 49b"
209059,"Vrtec Prvačina, Prvačina 48a"
209060,"Župnišče Ravnica, Ravnica 12"
209061,"OŠ Renče, Trg 31"
209062,"OŠ Renče, Trg 31"
209063,"Kulturni dom, Šempas 29"
209064,"Sedež KS, Trnovo 39"
210001,"Bukovica - osnovna šola - Bukovica 44"
210002,"KS Kromberk-Loke, Ulica Vinka Vodopivca 72"
210003,"Kmetijsko-gozdarski zavod - šola - Pri hrastu 18"
210004,"Goriška knjižnica Franceta Bevka,Trg E.Kardelja 4"
210005,"Sejna dvorana MONG, Trg Edvarda Kardelja 1"
210006,"Osnovna šola Kozara - Kidričeva ulica 35"
210007,"OŠ Frana Erjavca, Kidričeva ulica 36"
210008,"Osnovna šola Milojke Štrukelj, Delpinova ulica 7"
210009,"Zveza kulturnih društev,Ul. Gradnikove brigade 25"
210010,"Sejna dvorana MONG, Trg Edvarda Kardelja 1"
210011,"Osnovna šola Ledine - Cankarjeva ulica 23"
210012,"Goriški center- VDC Nova Gorica, Sedejeva ul. 10"
210013,"Osnovna šola Ledine - Cankarjeva ulica 23"
210014,"Medpodjetniški izobraževalni center,Cankarjeva 8a"
210015,"Medpodjetniški izobraževalni center,Cankarjeva 8a"
210016,"Bivši maloobmejni prehod, Erjavčeva ulica 53"
210017,"Krajevna skupnost Nova Gorica - Erjavčeva ulica 4"
210018,"Srednja ekonomska in trgovska šola- Erjavčeva 8"
210019,"Srednja ekonomska in trgovska šola, Erjavčeva 8"
210020,"Kromberk-podjetje MEGATERM, Cesta 25. junija 1g"
210021,"Želva d.o.o. - VDC, Ajševica 42"
210022,"Univerza v Novi Gorici, Vipavska c. 13, R. Dolina"
210023,"Kulturni dom Stara Gora - Stara Gora 14"
210024,"Krajevna skupnost Solkan, Trg Jožeta Srebrniča 7"
210025,"Osnovna šola Solkan - Šolska ulica 25"
210026,"Vrtec Julke Pavletič, Ulica L.Slokarja 8, Solkan"
210027,"Osnovna šola Solkan, Šolska ulica 25"
210028,"Center starejših Šempeter-Cesta preko. brigad 62a"
210029,"Občinska uprava-Coroninijev dvorec,Trg I. Roba 3a"
210030,"Šempeter-OŠ Ivana Roba, Ul. Andreja Gabrščka 1"
210031,"Ulica Ivana Suliča 12/a, Šempeter"
210032,"Osnovna šola Vogrsko, Vogrsko 99"
210033,"Vrtojba- Mladinski center, Ulica 9. septembra 72"
210034,"Osnovna šola Vrtojba, Ulica 9. septembra 132a"
211001,"OŠ Danila Lokarja, Cesta 5. maja 15, Ajdovščina"
211002,"Stavba Občine Ajdovščina, Cesta 5. maja 6a"
211003,"Prostovoljno gasilsko društvo, Tovarniška c. 3 g"
211004,"Otroški vrtec Ob Hublju, Ob Hublju 1, Ajdovščina"
211005,"Dom krajanov Ajdovščina, Prešernova ulica 26"
211006,"Stavba Upravne enote Ajdovščina, Vipavska c. 11b"
211007,"Otroški vrtec Ribnik, Pot v Žapuže 14, Ajdovščina"
211008,"Dom krajanov, Žapuže 10"
211009,"Dvorana KS Dolga Poljana, Dolga Poljana 17"
211010,"Stara šola Budanje, Budanje 37"
211011,"Dvorana Edmunda Čibeja, Lokavec 126a"
211012,"Dvorana KS Predmeja, Predmeja 93a"
211013,"Dvorana KS Otlica, Otlica 47"
211014,"Dom tabornikov na Kovku, Kovk 13"
211015,"Osnovna šola Col, Col 35"
211016,"Osnovna šola v Podkraju, Podkraj 9"
211017,"Dom krajanov Stomaž, Stomaž 36"
211018,"Prostori KS Skrilje, Skrilje 39"
211019,"Dom krajanov Cesta, Cesta 94a"
211020,"Krajevna skupnost Vipavski Križ, Vipavski Križ 8"
211021,"Dom krajanov, Plače 27 a"
211022,"Martinova dvorana v Gaberjah, Gaberje 37"
211023,"Gasilski dom Šmarje, Šmarje 48a"
211024,"Večnamenski prostor na Ustjah, Ustje 18"
211025,"Dom krajanov Planina, Planina 58"
211026,"Dvorana KS Velike Žablje, Velike Žablje 88a"
211027,"Kulturni dom Dobravlje, Dobravlje 34a"
211028,"Učni center Brje, Brje 53"
211029,"Dom krajanov, Kamnje 61"
211030,"Osnovna šola v Vrtovinu, Vrtovin 74"
211031,"Dom krajanov, Gojače 48"
211032,"Kulturni dom Selo, Selo 39a"
211033,"Stavba v športnem parku Batuje, Batuje 38b"
211034,"Osnovna šola v Črničah, Črniče 27"
211035,"Enota Lavričeve knjižnice Vipava,Beblerjeva ul.17"
211036,"Avla kulturne dvorane , Glavni trg 15, Vipava"
211037,"OŠ Draga Bajca Vipava, Vinarska cesta 4"
211038,"Osnovna šola v Vrhpolju, Vrhpolje 41"
211039,"Dvorana KS, Gradišče pri Vipavi 35b"
211040,"Prostori krajevne skupnosti Slap, Slap 58"
211041,"Krajevna skupnost (Stara šola), Lože 53"
211042,"Krajevna skupnost (Stara šola), Erzelj 17"
211043,"Osnovna šola na Gočah, Goče 6"
211044,"Kulturna dvorana Podraga, Podraga 7"
211045,"Kulturni dom Janka Premrla - Vojka, Podnanos 71"
211046,"Krajevna skupnost (stara šola), Lozice 34"
301001,"Stavba Občine Cerknica, Cesta 4.maja 53"
301002,"Stavba Upravne enote Cerknica, Cesta.4.maja 24"
301003,"OŠ Notranjski odred Cerknica"
301004,"Gasilski dom Dolenja vas"
301005,"Gasilski dom Dolenje Jezero"
301006,"OŠ Jožeta Krajca Rakek"
301007,"Pisarna Krajevnega urada Rakek"
301008,"Gasilski dom Unec"
301009,"Gasilski dom Ivanje selo"
301010,"Gasilski dom Bezuljak"
301011,"Kulturno družabno središče, TD Menišija, Begunje"
301013,"Gasilski dom Gorenje Otave"
301014,"Gasilski dom Sveti Vid"
301015,"Gasilski dom Cajnarje"
301016,"Gasilski dom Žerovnica"
301017,"Gasilski dom Martinjak"
301018,"Gasilski dom Gorenje Jezero"
301019,"POŠ 11.maj Grahovo"
301020,"Ana Žnidaršič, Bločice 5"
301022,"OŠ Rovte"
301023,"Šola Log, Zaplana"
301024,"Gasilski dom Medvedje Brdo"
301025,"POŠ Rovtarske Žibrše"
301026,"POŠ Laze"
301027,"POŠ Vrh Svetih Treh Kraljev"
301028,"OŠ 8 talcev Logatec"
301030,"OŠ 8 talcev Logatec"
301031,"Upravni center Logatec"
301032,"Upravni center Logatec"
301033,"POŠ Hotedršica"
301034,"OŠ Tabor Logatec"
301035,"Brunarica na ovinku Grčarevec 2a"
301036,"Zavod za vzgojo in izobraževanje Logatec"
301037,"Medgeneracijski center Gaber, Stari trg pri Ložu"
301038,"Okrepčevalnica, Lož"
301039,"POŠ Iga vas"
301040,"Posl. prostori Markovec 1b (Darija Tišler)"
301043,"Večnamenski objekt-Bivša POŠ Babno Polje"
301044,"OŠ Nova vas"
301045,"Gasilski dom Velike Bloke"
301046,"Zidar Mitja, Sveti Duh 3"
301047,"Župnišče Župnije Sveta Trojica, Sveta Trojica 4"
301049,"Kraševec Bojan, Studenec na Blokah 12a"
302001,"Lovski dom Borovnica, Miklavičeva cesta 2a"
302002,"Osnovna šola Borovnica"
302003,"Občina Borovnica"
302005,"Gasilski dom Breg pri Borovnici"
302006,"Dom krajanov Dol-Laze"
302007,"Gasilski dom Brezovica pri Borovnici"
302008,"Cankarjev dom Vrhnika"
302010,"Osnovna šola Ivana Cankarja, Lošca 1"
302011,"Osnovna šola Ivana Cankarja, Lošca 1"
302012,"Gasilski dom Vrhnika, Jelovškova ulica 3"
302013,"Elektro Ljubljana, Ljubljanska cesta 23, Vrhnika"
302014,"Dom upokojencev"
302015,"Župnijski vrtec Vrhnika, Hrib 2, Vrhnika"
302016,"Gasilski dom Verd"
302017,"Gasilski dom Verd"
302018,"Občina Log-Dragomer"
302019,"Gasilski dom Log pri Brezovici"
302020,"Gasilski dom Drenov Grič"
302021,"Dom KS Stara Vrhnika"
302022,"Kulturni dom Bevke"
302023,"Gasilski dom Podlipa"
302024,"Gasilski dom Ligojna"
302025,"Dom krajevne skupnosti Sinja Gorica"
302026,"Prostori KS Blatna Brezovica (ob bivši trgovini)"
302027,"Bivša šola Zaplana"
302028,"Gostilna na Pokojišču"
302029,"GD Dragomer-Lukovica, Na Grivi 5, Dragomer"
302030,"Gostilna Turšič, Voljčeva cesta 3"
302031,"OŠ A.M. Slomška, Pod Hruševco 33, Vrhnika"
302032,"Gasilski dom Log pri Brezovici"
303001,"GD, Goričica pod Krimom 29, 1352 Preserje"
303003,"Gasilski dom, Kamnik pod Krimom 151a, Preserje"
303004,"OŠ Preserje, Preserje 60, 1352 Preserje"
303005,"Kulturni dom Podpeč, Jezero 21, 1352 Preserje"
303007,"OŠ Rakitna, Rakitna 66"
303008,"ZD Notranje Gorice, Podpeška c. 380"
303009,"ZD Notranje Gorice, Podpeška c. 380"
303010,"Dom Krajanov Vnanje Gorice, Nova pot 5, Brezovica"
303011,"Osnovna šola Ig, Troštova ulica 24, Ig"
303012,"Novi gasilski dom Ig, Gasilska ulica 39"
303013,"PGD Kot, 1292 Ig"
303014,"Družabni objekt""Senožetka"", Iška Loka"
303015,"Gasilski dom Matena"
303016,"Gasilski dom Golo, Golo 5a"
303017,"Gasilski dom Škrilje"
303018,"Mobilno volišče na igrišču Brest"
303019,"Podružnična OŠ Tomišelj, Tomišelj 30, Ig"
303020,"Gasilski dom Vrbljene"
303021,"PGD Iška vas, Iška vas 31, Ig"
303023,"Gasilski dom Barje,Peruzzijeva 101,1000 Ljubljana"
303024,"Gasilski dom Barje,Peruzzijeva 101,1000 Ljubljana"
303026,"Občina Škofljica, Šmarska c. 3, Škofljica"
303027,"Občina Škofljica, Šmarska c. 3,  Škofljica"
303029,"Podružnična OŠ Želimlje, Želimlje 43"
303030,"GD Pijava Gorica, Gasilska ulica 3, Škofljica"
303031,"Objekt Smrjene - Pri Marinčku, Smrjene 8"
303032,"Društveni prostori Gradišče, Gradišče, Škofljica"
303033,"Občina Velike Lašče, Levstikov trg 1"
303034,"Občina Velike Lašče, Levstikov trg 1"
303037,"Kulturni dom Rob"
303040,"Gasilski dom Turjak, Turjak 17g"
303041,"Dom Krajanov Vnanje Gorice, Nova pot 5, Brezovica"
304001,"OŠ Trnovo, Karunova ul. 14a, Ljubljana"
304002,"OŠ Trnovo, Karunova ul. 14a, Ljubljana"
304003,"OŠ Trnovo, Karunova ul. 14a"
304004,"OŠ Trnovo, Karunova ul. 14a"
304005,"OŠ Oskarja Kovačiča, Ob dolenjski železnici 48"
304006,"OŠ Oskarja Kovačiča, Ob dolenjski železnici 48"
304008,"OŠ Oskarja Kovačiča, Ob dolenjski železnici 48"
304009,"OŠ Oskarja Kovačiča, Ob dolenjski železnici 48"
304010,"OŠ Livada, Ulica Dušana Kraigherja 2"
304011,"OŠ Oskarja Kovačiča, Ob dolenjski železnici 48"
304012,"OŠ Livada, Ulica Dušana Kraigherja 2, Ljubljana"
304013,"Podružnična šola Lavrica,Kamnikarjeva 6,Škofljica"
304014,"Gasilski dom Orle, Orle 39"
304015,"Podružnična šola Lavrica,Kamnikarjeva 6,Škofljica"
304016,"OŠ Livada, Ulica Dušana Kraigherja 2"
305001,"Dom starejših občanov, Kopališka ul. 10"
305002,"OŠ Kolezija, Cesta v Mestni log 46"
305003,"Dijaški dom Vič, Gerbičeva ul. 51a, Ljubljana"
305004,"Osnovna šola Vič, Tržaška cesta 74, Ljubljana"
305005,"Osnovna šola Vič, Tržaška cesta 74, Ljubljana"
305006,"OŠ Kolezija, Cesta v Mestni log 46"
305007,"Dom gasilcev, Cesta v Mestni log 31"
305008,"Biotehniški izobraž. center, C. v mestni log 47"
305009,"Snaga JP d.o.o. Cesta dveh cesarjev 111,Ljubljana"
305010,"Prostori MOL, Tbilisijska ul. 22a, Ljubljana"
305011,"Prostori MOL, Tbilisijska ul. 22a, Ljubljana"
305012,"OŠ Vič, Abramova ul. 26"
305013,"OŠ Vič, Abramova ul. 26"
305014,"OŠ Vič, Abramova ul. 26"
305015,"OŠ Vič, Abramova ul. 26"
305016,"OŠ Vrhovci, C. na Bokalce 1"
305017,"OŠ Vrhovci, C. na Bokalce 1"
306001,"OŠ Brezovica pri Lj., Šolska ulica 15, Brezovica"
306002,"OŠ Brezovica pri Lj., Šolska ulica 15, Brezovica"
306003,"OŠ Dobrova, Cesta 7.maja 20, 1356 Dobrova"
306004,"Poslovni prostor Koprivec,Brezje 10, 1356 Dobrova"
306006,"Športni center Gabrje, 1356 Dobrova"
306007,"GD Hruševo, Hruševo 2a, 1356 Dobrova"
306009,"GD Podsmreka, Podsmreka 58, 1356 Dobrova"
306010,"Gasilski dom Vrzdenec"
306011,"Bivša OŠ Žažar, Žažar 23"
306012,"Gasilski dom, Podolnica 50a, Horjul"
306013,"GD Zaklanec"
306014,"OŠ Horjul, Šolska ulica 44"
306015,"OŠ Horjul, Šolska ulica 44"
306016,"Dom Ivana Cankarja v Šentjoštu,Šentjošt 13,Horjul"
306017,"GD Butajnova, Butajnova 23,1354 Horjul"
306019,"OŠ Polhov Gradec, Polhov Gradec 95, Polh. Gradec"
306020,"GD Dvor pri Polhovem Gradcu,1355 Polhov Gradec"
306021,"GD Zalog-Setnik, Setnik 5 b,1355 Polhov Gradec"
306022,"Dom krajanov Črni vrh 37a, 1355 Polhov Gradec"
306024,"Fakulteta za elektrotehniko,Tržaška c. 25, Lj."
306025,"Fakulteta za elektrotehniko,Tržaška c. 25, Lj."
306026,"Tehnološki park Lj, Tehnološki park 19 (stavba B)"
306027,"Obrtna zbornica Vič, Tržaška cesta 207"
306028,"GD Kozarje, Cesta na Ključ 56"
306029,"BTF - Odd. za lesarstvo, Rožna dolina c. VIII/34"
306030,"BTF - Odd. za lesarstvo, Rožna dolina c. VIII/34"
306031,"Obrtna zbornica Vič, Tržaška cesta 207"
307001,"Prostori MOL, Štefanova ul. 11"
307003,"OŠ Majde Vrhovnik, Gregorčičeva ul.16"
307004,"OŠ Majde Vrhovnik, Gregorčičeva ul.16"
307005,"OŠ Toneta Čufarja, Čufarjeva ulica 11, Ljubljana"
307006,"OŠ Toneta Čufarja, Čufarjeva ulica 11, Ljubljana"
307007,"OŠ Toneta Čufarja, Čufarjeva ulica 11, Ljubljana"
307008,"Srednja zdravstvena šola Ljubljana,Poljanska c.61"
307009,"Dom upokojencev Poljane, Ulica Janeza Pavla II. 4"
307010,"OŠ Poljane, Zemljemerska ul. 7, Ljubljana"
307011,"OŠ Poljane, Zemljemerska ul. 7"
307013,"OŠ Prule, Prule 13, Lj., prostor Galerija"
307014,"OŠ Prule, Prule 13, Lj., prostor Galerija"
307015,"Info točka 65+, Mačkova 1, Ljubljana"
307016,"OŠ Vodmat, Potrčeva ul. 1"
307017,"OŠ Vodmat, Potrčeva ulica 1, Ljubljana"
307018,"Prostori MOL, Rozmanova ul.12"
307019,"OŠ Toneta Čufarja, Čufarjeva ulica 11, Ljubljana"
307020,"OŠ Majde Vrhovnik, Gregorčičeva ul. 16, Ljubljana"
307021,"Srednja zdravstvena šola Ljubljana,Poljanska c.61"
308001,"OŠ Sp. Šiška, Gasilska c.17"
308002,"OŠ Sp. Šiška, Gasilska c. 17"
308005,"Gimnazija Ljubljana - Šiška, Aljaževa ul.32"
308007,"Gimnazija Ljubljana - Šiška, Aljaževa ul.32"
308008,"OŠ Sp.Šiška, Gasilska c.17"
308009,"OŠ Riharda Jakopiča, Derčeva ul.1"
308010,"OŠ Riharda Jakopiča, Derčeva ul.1"
308011,"OŠ Sp. Šiška, Gasilska c. 17"
308012,"OŠ Riharda Jakopiča, Derčeva ulica 1"
308014,"Vrtec Andersen, Derčeva ul.10"
308016,"OŠ Valentina Vodnika, Adamičeva ul. 16"
308018,"OŠ Riharda Jakopiča, Derčeva ul.1"
308019,"OŠ Riharda Jakopiča, Derčeva ul.1"
308021,"Prostori MOL, Kebetova ul.1"
308022,"Vrtec Najdihojca, Gorazdova ul.6"
308023,"OŠ Valentina Vodnika, Adamičeva ul.16"
308024,"OŠ Valentina Vodnika, Adamičeva ul.16"
309001,"OŠ Valentina Vodnika, Adamičeva ul.16"
309002,"OŠ Valentina Vodnika, Adamičeva ul.16"
309003,"OŠ Koseze, Ledarska ul. 23"
309004,"OŠ Koseze, Ledarska ul. 23"
309005,"OŠ Koseze, Ledarska ul. 23"
309006,"OŠ Koseze, Ledarska ul. 23"
309007,"OŠ Koseze, Ledarska ul. 23"
309008,"OŠ Koseze, Ledarska ul. 23"
309009,"OŠ Hinka Smrekarja, Gorazdova ul.16"
309010,"OŠ Hinka Smrekarja, Gorazdova ul. 16"
309011,"OŠ Hinka Smrekarja, Gorazdova ul. 16"
309012,"OŠ Hinka Smrekarja, Gorazdova ul. 16"
309014,"OŠ Valentina Vodnika, Adamičeva ul.16"
309016,"OŠ Valentina Vodnika, Adamičeva ul.16"
309017,"OŠ Dravlje, Klopčičeva ul.1"
309018,"OŠ Dravlje, Klopčičeva ul.1"
309019,"Dom starejših občanov Dravlje, Kunaverjeva ul.15"
309021,"GD Podutik, Dolniška c.18"
309022,"GD Podutik, Dolniška c.18"
309023,"GD Podutik, Dolniška c.18"
310001,"MOL-Dom krajanov, Draveljska ul.44"
310002,"MOL-Dom krajanov, Draveljska ul.44"
310003,"MOL-Dom krajanov, Draveljska ul.44"
310004,"OŠ Koseze, Ledarska ul.23"
310005,"OŠ Miška Kranjca, Kamnogoriška c.35"
310006,"OŠ Miška Kranjca, Kamnogoriška c.35"
